MFK3006 Log 1,TIME,m/s,°C
1,01:05:10,0.11,27.08
2,01:05:11,0.14,27.08
3,01:05:12,0.1,27.14
4,01:05:13,0.14,27.12
5,01:05:14,0.13,27.12
6,01:05:15,0.13,27.1
7,01:05:16,0.12,27.11
8,01:05:17,0.16,27.1
9,01:05:18,0.17,27.11
10,01:05:19,0.17,27.08
11,01:05:20,0.16,27.05
12,01:05:21,0.13,27.09
13,01:05:22,0.11,27.11
14,01:05:23,0.1,27.11
15,01:05:24,0.1,27.11
16,01:05:25,0.1,27.11
17,01:05:26,0.12,27.09
18,01:05:27,0.13,27.08
19,01:05:28,0.16,27.07
20,01:05:29,0.11,27.08
21,01:05:30,0.15,27.09
22,01:05:31,0.11,27.07
23,01:05:32,0.14,27.07
24,01:05:33,0.14,27.06
25,01:05:34,0.12,27.05
26,01:05:35,0.12,27.06
27,01:05:36,0.16,27.06
28,01:05:37,0.16,27.06
29,01:05:38,0.15,27.04
30,01:05:39,0.15,27.05
31,01:05:40,0.09,27.06
32,01:05:41,0.14,27.05
33,01:05:42,0.14,27.04
34,01:05:43,0.15,27.07
35,01:05:44,0.13,27.06
36,01:05:45,0.13,27.07
37,01:05:46,0.13,27.05
38,01:05:47,0.13,27.04
39,01:05:48,0.13,27.05
40,01:05:49,0.14,27.05
41,01:05:50,0.14,27.06
42,01:05:51,0.16,27.05
43,01:05:52,0.13,27.05
44,01:05:53,0.13,27.08
45,01:05:54,0.13,27.07
46,01:05:55,0.13,27.08
47,01:05:56,0.12,27.1
48,01:05:57,0.11,27.11
49,01:05:58,0.12,27.13
50,01:05:59,0.12,27.1
51,01:06:00,0.1,27.09
52,01:06:01,0.09,27.09
53,01:06:02,0.06,27.1
54,01:06:03,0.07,27.11
55,01:06:04,0.05,27.11
56,01:06:05,0.04,27.12
57,01:06:06,0.04,27.13
58,01:06:07,0.06,27.13
59,01:06:08,0.04,27.13
60,01:06:09,0.04,27.13
61,01:06:10,0.05,27.14
62,01:06:11,0.06,27.14
63,01:06:12,0.06,27.13
64,01:06:13,0.09,27.12
65,01:06:14,0.08,27.12
66,01:06:15,0.08,27.11
67,01:06:16,0.09,27.11
68,01:06:17,0.13,27.11
69,01:06:18,0.09,27.11
70,01:06:19,0.11,27.12
71,01:06:20,0.12,27.13
72,01:06:21,0.13,27.14
73,01:06:22,0.15,27.12
74,01:06:23,0.15,27.09
75,01:06:24,0.14,27.06
76,01:06:25,0.13,27.08
77,01:06:26,0.15,27.08
78,01:06:27,0.13,27.08
79,01:06:28,0.09,27.08
80,01:06:29,0.08,27.1
81,01:06:30,0.09,27.1
82,01:06:31,0.11,27.09
83,01:06:32,0.11,27.09
84,01:06:33,0.14,27.09
85,01:06:34,0.13,27.1
86,01:06:35,0.14,27.08
87,01:06:36,0.13,27.09
88,01:06:37,0.16,27.08
89,01:06:38,0.14,27.06
90,01:06:39,0.14,27.06
91,01:06:40,0.13,27.08
92,01:06:41,0.14,27.08
93,01:06:42,0.15,27.05
94,01:06:43,0.17,27.05
95,01:06:44,0.16,27.07
96,01:06:45,0.16,27.05
97,01:06:46,0.14,27.05
98,01:06:47,0.16,27.04
99,01:06:48,0.15,27.05
100,01:06:49,0.14,27.09
101,01:06:50,0.15,27.08
102,01:06:51,0.14,27.08
103,01:06:52,0.15,27.08
104,01:06:53,0.15,27.08
105,01:06:54,0.16,27.07
106,01:06:55,0.13,27.08
107,01:06:56,0.13,27.08
108,01:06:57,0.17,27.1
109,01:06:58,0.14,27.08
110,01:06:59,0.15,27.08
111,01:07:00,0.16,27.09
112,01:07:01,0.14,27.08
113,01:07:02,0.16,27.09
114,01:07:03,0.15,27.09
115,01:07:04,0.14,27.08
116,01:07:05,0.1,27.09
117,01:07:06,0.1,27.1
118,01:07:07,0.12,27.1
119,01:07:08,0.14,27.11
120,01:07:09,0.16,27.1
MFK3006 Log 2,TIME,m/s,°C
1,01:08:41,0.1,27.12
2,01:08:42,0.09,27.11
3,01:08:43,0.1,27.11
4,01:08:44,0.09,27.13
5,01:08:45,0.09,27.12
6,01:08:46,0.09,27.11
7,01:08:47,0.12,27.11
8,01:08:48,0.12,27.09
9,01:08:49,0.09,27.11
10,01:08:50,0.07,27.13
11,01:08:51,0.1,27.12
12,01:08:52,0.06,27.13
13,01:08:53,0.06,27.14
14,01:08:54,0.07,27.13
15,01:08:55,0.06,27.14
16,01:08:56,0.09,27.13
17,01:08:57,0.08,27.14
18,01:08:58,0.1,27.13
19,01:08:59,0.06,27.14
20,01:09:00,0.06,27.14
21,01:09:01,0.11,27.14
22,01:09:02,0.12,27.13
23,01:09:03,0.14,27.12
24,01:09:04,0.12,27.1
25,01:09:05,0.07,27.11
26,01:09:06,0.09,27.12
27,01:09:07,0.07,27.12
28,01:09:08,0.07,27.14
29,01:09:09,0.08,27.14
30,01:09:10,0.11,27.14
31,01:09:11,0.11,27.18
32,01:09:12,0.1,27.18
33,01:09:13,0.1,27.17
34,01:09:14,0.06,27.21
35,01:09:15,0.06,27.24
36,01:09:16,0.08,27.24
37,01:09:17,0.08,27.26
38,01:09:18,0.11,27.19
39,01:09:19,0.09,27.23
40,01:09:20,0.08,27.26
41,01:09:21,0.06,27.26
42,01:09:22,0.09,27.25
43,01:09:23,0.09,27.21
44,01:09:24,0.07,27.21
45,01:09:25,0.05,27.22
46,01:09:26,0.06,27.24
47,01:09:27,0.1,27.24
48,01:09:28,0.05,27.24
49,01:09:29,0.05,27.25
50,01:09:30,0.1,27.24
51,01:09:31,0.15,27.2
52,01:09:32,0.1,27.2
53,01:09:33,0.08,27.2
54,01:09:34,0.12,27.19
55,01:09:35,0.13,27.18
56,01:09:36,0.1,27.17
57,01:09:37,0.1,27.18
58,01:09:38,0.12,27.18
59,01:09:39,0.06,27.19
60,01:09:40,0.08,27.18
61,01:09:41,0.07,27.19
62,01:09:42,0.1,27.2
63,01:09:43,0.1,27.21
64,01:09:44,0.1,27.19
65,01:09:45,0.09,27.21
66,01:09:46,0.12,27.23
67,01:09:47,0.1,27.22
68,01:09:48,0.1,27.19
69,01:09:49,0.09,27.19
70,01:09:50,0.08,27.2
71,01:09:51,0.09,27.19
72,01:09:52,0.13,27.19
73,01:09:53,0.1,27.18
74,01:09:54,0.08,27.19
75,01:09:55,0.07,27.19
76,01:09:56,0.08,27.26
77,01:09:57,0.1,27.28
78,01:09:58,0.07,27.25
